Year,Month,Day,Hour,Minute,GHI
2020,1,1,0,30,39
2020,1,1,1,30,0
2020,1,1,2,30,0
2020,1,1,3,30,0
2020,1,1,4,30,0
2020,1,1,5,30,0
2020,1,1,6,30,0
2020,1,1,7,30,0
2020,1,1,8,30,0
2020,1,1,9,30,0
2020,1,1,10,30,0
2020,1,1,11,30,0
2020,1,1,12,30,0
2020,1,1,13,30,0
2020,1,1,14,30,0
2020,1,1,15,30,9
2020,1,1,16,30,88
2020,1,1,17,30,302
2020,1,1,18,30,419
2020,1,1,19,30,380
2020,1,1,20,30,480
2020,1,1,21,30,380
2020,1,1,22,30,183
2020,1,1,23,30,89
2020,1,2,0,30,21
2020,1,2,1,30,0
2020,1,2,2,30,0
2020,1,2,3,30,0
2020,1,2,4,30,0
2020,1,2,5,30,0
2020,1,2,6,30,0
2020,1,2,7,30,0
2020,1,2,8,30,0
2020,1,2,9,30,0
2020,1,2,10,30,0
2020,1,2,11,30,0
2020,1,2,12,30,0
2020,1,2,13,30,0
2020,1,2,14,30,0
2020,1,2,15,30,9
2020,1,2,16,30,158
2020,1,2,17,30,244
2020,1,2,18,30,428
2020,1,2,19,30,452
2020,1,2,20,30,491
2020,1,2,21,30,468
2020,1,2,22,30,364
2020,1,2,23,30,215
2020,1,3,0,30,55
2020,1,3,1,30,0
2020,1,3,2,30,0
2020,1,3,3,30,0
2020,1,3,4,30,0
2020,1,3,5,30,0
2020,1,3,6,30,0
2020,1,3,7,30,0
2020,1,3,8,30,0
2020,1,3,9,30,0
2020,1,3,10,30,0
2020,1,3,11,30,0
2020,1,3,12,30,0
2020,1,3,13,30,0
2020,1,3,14,30,0
2020,1,3,15,30,9
2020,1,3,16,30,145
2020,1,3,17,30,283
2020,1,3,18,30,371
2020,1,3,19,30,414
2020,1,3,20,30,490
2020,1,3,21,30,406
2020,1,3,22,30,347
2020,1,3,23,30,198
2020,1,4,0,30,48
2020,1,4,1,30,0
2020,1,4,2,30,0
2020,1,4,3,30,0
2020,1,4,4,30,0
2020,1,4,5,30,0
2020,1,4,6,30,0
2020,1,4,7,30,0
2020,1,4,8,30,0
2020,1,4,9,30,0
2020,1,4,10,30,0
2020,1,4,11,30,0
2020,1,4,12,30,0
2020,1,4,13,30,0
2020,1,4,14,30,0
2020,1,4,15,30,6
2020,1,4,16,30,139
2020,1,4,17,30,274
2020,1,4,18,30,432
2020,1,4,19,30,502
2020,1,4,20,30,514
2020,1,4,21,30,465
2020,1,4,22,30,359
2020,1,4,23,30,203
2020,1,5,0,30,32
2020,1,5,1,30,0
2020,1,5,2,30,0
2020,1,5,3,30,0
2020,1,5,4,30,0
2020,1,5,5,30,0
2020,1,5,6,30,0
2020,1,5,7,30,0
2020,1,5,8,30,0
2020,1,5,9,30,0
2020,1,5,10,30,0
2020,1,5,11,30,0
2020,1,5,12,30,0
2020,1,5,13,30,0
2020,1,5,14,30,0
2020,1,5,15,30,16
2020,1,5,16,30,159
2020,1,5,17,30,318
2020,1,5,18,30,443
2020,1,5,19,30,515
2020,1,5,20,30,526
2020,1,5,21,30,474
2020,1,5,22,30,367
2020,1,5,23,30,218
2020,1,6,0,30,58
2020,1,6,1,30,0
2020,1,6,2,30,0
2020,1,6,3,30,0
2020,1,6,4,30,0
2020,1,6,5,30,0
2020,1,6,6,30,0
2020,1,6,7,30,0
2020,1,6,8,30,0
2020,1,6,9,30,0
2020,1,6,10,30,0
2020,1,6,11,30,0
2020,1,6,12,30,0
2020,1,6,13,30,0
2020,1,6,14,30,0
2020,1,6,15,30,16
2020,1,6,16,30,158
2020,1,6,17,30,318
2020,1,6,18,30,443
2020,1,6,19,30,513
2020,1,6,20,30,523
2020,1,6,21,30,471
2020,1,6,22,30,365
2020,1,6,23,30,217
2020,1,7,0,30,58
2020,1,7,1,30,0
2020,1,7,2,30,0
2020,1,7,3,30,0
2020,1,7,4,30,0
2020,1,7,5,30,0
2020,1,7,6,30,0
2020,1,7,7,30,0
2020,1,7,8,30,0
2020,1,7,9,30,0
2020,1,7,10,30,0
2020,1,7,11,30,0
2020,1,7,12,30,0
2020,1,7,13,30,0
2020,1,7,14,30,0
2020,1,7,15,30,12
2020,1,7,16,30,136
2020,1,7,17,30,300
2020,1,7,18,30,425
2020,1,7,19,30,456
2020,1,7,20,30,511
2020,1,7,21,30,416
2020,1,7,22,30,330
2020,1,7,23,30,216
2020,1,8,0,30,60
2020,1,8,1,30,0
2020,1,8,2,30,0
2020,1,8,3,30,0
2020,1,8,4,30,0
2020,1,8,5,30,0
2020,1,8,6,30,0
2020,1,8,7,30,0
2020,1,8,8,30,0
2020,1,8,9,30,0
2020,1,8,10,30,0
2020,1,8,11,30,0
2020,1,8,12,30,0
2020,1,8,13,30,0
2020,1,8,14,30,0
2020,1,8,15,30,15
2020,1,8,16,30,113
2020,1,8,17,30,274
2020,1,8,18,30,381
2020,1,8,19,30,306
2020,1,8,20,30,338
2020,1,8,21,30,252
2020,1,8,22,30,89
2020,1,8,23,30,167
2020,1,9,0,30,39
2020,1,9,1,30,0
2020,1,9,2,30,0
2020,1,9,3,30,0
2020,1,9,4,30,0
2020,1,9,5,30,0
2020,1,9,6,30,0
2020,1,9,7,30,0
2020,1,9,8,30,0
2020,1,9,9,30,0
2020,1,9,10,30,0
2020,1,9,11,30,0
2020,1,9,12,30,0
2020,1,9,13,30,0
2020,1,9,14,30,0
2020,1,9,15,30,9
2020,1,9,16,30,151
2020,1,9,17,30,107
2020,1,9,18,30,74
2020,1,9,19,30,93
2020,1,9,20,30,129
2020,1,9,21,30,76
2020,1,9,22,30,218
2020,1,9,23,30,152
2020,1,10,0,30,61
2020,1,10,1,30,0
2020,1,10,2,30,0
2020,1,10,3,30,0
2020,1,10,4,30,0
2020,1,10,5,30,0
2020,1,10,6,30,0
2020,1,10,7,30,0
2020,1,10,8,30,0
2020,1,10,9,30,0
2020,1,10,10,30,0
2020,1,10,11,30,0
2020,1,10,12,30,0
2020,1,10,13,30,0
2020,1,10,14,30,0
2020,1,10,15,30,16
2020,1,10,16,30,160
2020,1,10,17,30,320
2020,1,10,18,30,445
2020,1,10,19,30,518
2020,1,10,20,30,530
2020,1,10,21,30,469
2020,1,10,22,30,349
2020,1,10,23,30,224
2020,1,11,0,30,51
2020,1,11,1,30,0
2020,1,11,2,30,0
2020,1,11,3,30,0
2020,1,11,4,30,0
2020,1,11,5,30,0
2020,1,11,6,30,0
2020,1,11,7,30,0
2020,1,11,8,30,0
2020,1,11,9,30,0
2020,1,11,10,30,0
2020,1,11,11,30,0
2020,1,11,12,30,0
2020,1,11,13,30,0
2020,1,11,14,30,0
2020,1,11,15,30,16
2020,1,11,16,30,158
2020,1,11,17,30,319
2020,1,11,18,30,446
2020,1,11,19,30,521
2020,1,11,20,30,534
2020,1,11,21,30,487
2020,1,11,22,30,382
2020,1,11,23,30,218
2020,1,12,0,30,71
2020,1,12,1,30,0
2020,1,12,2,30,0
2020,1,12,3,30,0
2020,1,12,4,30,0
2020,1,12,5,30,0
2020,1,12,6,30,0
2020,1,12,7,30,0
2020,1,12,8,30,0
2020,1,12,9,30,0
2020,1,12,10,30,0
2020,1,12,11,30,0
2020,1,12,12,30,0
2020,1,12,13,30,0
2020,1,12,14,30,0
2020,1,12,15,30,10
2020,1,12,16,30,92
2020,1,12,17,30,227
2020,1,12,18,30,343
2020,1,12,19,30,433
2020,1,12,20,30,528
2020,1,12,21,30,223
2020,1,12,22,30,308
2020,1,12,23,30,213
2020,1,13,0,30,71
2020,1,13,1,30,0
2020,1,13,2,30,0
2020,1,13,3,30,0
2020,1,13,4,30,0
2020,1,13,5,30,0
2020,1,13,6,30,0
2020,1,13,7,30,0
2020,1,13,8,30,0
2020,1,13,9,30,0
2020,1,13,10,30,0
2020,1,13,11,30,0
2020,1,13,12,30,0
2020,1,13,13,30,0
2020,1,13,14,30,0
2020,1,13,15,30,15
2020,1,13,16,30,152
2020,1,13,17,30,315
2020,1,13,18,30,448
2020,1,13,19,30,523
2020,1,13,20,30,537
2020,1,13,21,30,421
2020,1,13,22,30,135
2020,1,13,23,30,235
2020,1,14,0,30,77
2020,1,14,1,30,0
2020,1,14,2,30,0
2020,1,14,3,30,0
2020,1,14,4,30,0
2020,1,14,5,30,0
